symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh600018,Spring,92,paper_discipline_bull,4.91,4.66,-0.0585,止损,8,2026-09-02 14:57:28
sz000513,Spring,72,screener_value_accumulation,30.47,28.918,-0.0585,止损,8,2026-09-02 14:57:28
sz002738,Spring,93,paper_discipline_bull,53.844,64.825,0.1943,止盈,2,2026-09-02 14:57:39
sz002738,Spring,93,paper_discipline_bull,64.364,61.085,-0.0585,止损,4,2026-09-02 14:57:53
sh600535,SC,60,screener_value_accumulation,13.193,15.275,0.1486,止盈,12,2026-09-02 14:58:15
sz000513,Spring,72,screener_value_accumulation,28.388,30.629,0.0703,到期,20,2026-09-02 14:58:55
sz001260,Spring,68,screener_value_accumulation,16.496,19.101,0.1487,止盈,5,2026-09-02 14:59:55
sz000628,SC,57,screener_value_accumulation,39.079,45.305,0.1501,止盈,12,2026-09-02 15:00:20
sh603057,Spring,39,screener_value_accumulation,22.142,21.014,-0.0585,止损,5,2026-09-02 15:00:22
sz300826,SC,59,screener_value_accumulation,13.103,14.985,0.1345,到期,20,2026-09-02 15:00:23
