symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605499,Spring,100,paper_discipline_bull,90.09,103.959,0.1448,条件单:take_profit,24,2026-09-04 09:32:14
sh605376,Spring,95,paper_discipline_bull,18.06,22.483,0.235,条件单:take_profit,7,2026-09-04 09:32:15
sh605376,Spring,95,paper_discipline_bull,22.528,24.732,0.0891,空头信号卖出,1,2026-09-04 09:32:15
sh605376,Spring,95,paper_discipline_bull,24.782,22.259,-0.109,条件单:stop_loss,0,2026-09-04 09:32:15
sh605376,Spring,95,paper_discipline_bull,23.533,20.438,-0.1384,条件单:stop_loss,0,2026-09-04 09:32:15
sh605507,ST,100,paper_discipline_bull,10.131,11.966,0.1717,条件单:take_profit,36,2026-09-04 09:32:16
sh605598,Spring,100,paper_discipline_bull,16.146,18.914,0.1621,条件单:take_profit,11,2026-09-04 09:32:16
sh605567,Spring,100,screener_value_accumulation,8.919,9.517,0.0585,空头信号卖出,10,2026-09-04 09:32:17
sh605598,Spring,100,screener_value_accumulation,18.203,21.174,0.1539,条件单:take_profit,19,2026-09-04 09:32:17
sh605389,Spring,87,screener_value_accumulation,16.829,15.446,-0.0895,条件单:stop_loss,10,2026-09-04 09:32:17
sh605588,Shakeout,97,paper_discipline_bull,38.672,41.138,0.0553,空头信号卖出,1,2026-09-04 09:32:17
sh605588,Shakeout,97,paper_discipline_bull,39.362,42.983,0.0833,空头信号卖出,1,2026-09-04 09:32:17
sh605588,Shakeout,97,paper_discipline_bull,40.571,42.375,0.0361,空头信号卖出,1,2026-09-04 09:32:17
sh605368,Spring,100,paper_discipline_bull,11.862,11.856,-0.0085,空头信号卖出,1,2026-09-04 09:32:17
sh605398,Spring,100,paper_discipline_bull,14.475,13.565,-0.0703,条件单:stop_loss,27,2026-09-04 09:32:19
sh605388,ST,94,paper_discipline_bull,5.066,4.749,-0.07,条件单:stop_loss,25,2026-09-04 09:32:22
sh605368,Spring,100,paper_discipline_bull,11.55,12.887,0.1069,空头信号卖出,49,2026-09-04 09:32:22
sh605488,Spring,100,paper_discipline_bull,7.978,9.043,0.1245,空头信号卖出,6,2026-09-04 09:32:23
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-04 09:32:24
sh605598,Spring,100,paper_discipline_bull,16.549,19.095,0.1447,条件单:take_profit,16,2026-09-04 09:32:24
sh605599,ST,100,paper_discipline_bull,9.832,10.907,0.1005,空头信号卖出,2,2026-09-04 09:32:25
sh605599,ST,100,paper_discipline_bull,11.797,9.995,-0.1595,条件单:stop_loss,0,2026-09-04 09:32:25
sh605599,ST,100,paper_discipline_bull,10.782,10.004,-0.0796,条件单:stop_loss,0,2026-09-04 09:32:25
sh605389,Spring,95,screener_value_accumulation,15.29,14.868,-0.0353,空头信号卖出,1,2026-09-04 09:32:25
sh605389,Spring,95,screener_value_accumulation,15.44,14.959,-0.0389,空头信号卖出,1,2026-09-04 09:32:25
sh605389,Spring,95,screener_value_accumulation,14.966,14.628,-0.0304,空头信号卖出,1,2026-09-04 09:32:25
sh605389,Spring,95,screener_value_accumulation,15.011,14.59,-0.0358,空头信号卖出,1,2026-09-04 09:32:26
sh605368,Spring,100,screener_value_accumulation,11.868,11.862,-0.0085,空头信号卖出,1,2026-09-04 09:32:26
sh605389,Spring,95,screener_value_accumulation,14.973,17.875,0.1843,条件单:take_profit,13,2026-09-04 09:32:29
sh605368,Shakeout,100,paper_discipline_bull,10.789,10.822,-0.0049,空头信号卖出,1,2026-09-04 09:32:29
sh605368,Shakeout,100,paper_discipline_bull,10.945,10.749,-0.0257,空头信号卖出,1,2026-09-04 09:32:29
sh605368,Shakeout,100,paper_discipline_bull,10.844,10.583,-0.0318,空头信号卖出,1,2026-09-04 09:32:29
sh605598,ST,100,paper_discipline_bull,18.746,21.595,0.1428,条件单:take_profit,40,2026-09-04 09:32:29
sh605377,Spring,69,screener_value_accumulation,9.796,10.354,0.0485,空头信号卖出,26,2026-09-04 09:32:30
sh605566,Spring,99,paper_discipline_bull,16.287,19.057,0.1608,条件单:take_profit,9,2026-09-04 09:32:30
sh605589,Spring,100,paper_discipline_bull,21.467,25.436,0.1754,条件单:take_profit,6,2026-09-04 09:32:30
sh605589,Spring,100,paper_discipline_bull,24.807,28.837,0.1532,条件单:take_profit,15,2026-09-04 09:32:30
sh605368,SC,78,screener_value_accumulation,10.448,9.755,-0.0738,条件单:stop_loss,46,2026-09-04 09:32:30
sh605389,Spring,98,screener_value_accumulation,20.186,22.693,0.1152,空头信号卖出,5,2026-09-04 09:32:31
sh605599,Shakeout,100,paper_discipline_bull,10.508,12.056,0.1382,空头信号卖出,7,2026-09-04 09:32:32
sh605599,Shakeout,100,paper_discipline_bull,11.568,11.718,0.0049,空头信号卖出,1,2026-09-04 09:32:32
sh605599,Shakeout,100,paper_discipline_bull,12.08,11.381,-0.0654,空头信号卖出,1,2026-09-04 09:32:32
sh605599,Shakeout,100,paper_discipline_bull,11.577,11.691,0.0018,空头信号卖出,1,2026-09-04 09:32:32
sh605599,Shakeout,100,paper_discipline_bull,11.605,11.864,0.0142,空头信号卖出,1,2026-09-04 09:32:32
sh605580,Spring,100,paper_discipline_bull,9.982,12.143,0.2068,条件单:take_profit,37,2026-09-04 09:32:38
sh605389,Shakeout,68,screener_value_accumulation,27.607,33.423,0.201,条件单:take_profit,6,2026-09-04 09:32:39
sh605488,Spring,92,paper_discipline_bull,32.589,31.817,-0.0315,空头信号卖出,1,2026-09-04 09:32:39
sh605488,Spring,92,paper_discipline_bull,32.629,30.654,-0.068,空头信号卖出,1,2026-09-04 09:32:39
