symbol,type,conf,buy_px,sell_px,ret,reason,bars,close
sh603682,Spring,80,5.026,6.016,0.197,止盈,4,2026-08-30 09:16:13
sh688065,Spring,95,40.289,46.417,0.1521,止盈,15,2026-08-30 09:16:13
sh603682,Spring,80,5.445,5.168,-0.0509,止损,9,2026-08-30 09:16:13
sz301297,Spring,92,41.765,39.637,-0.051,止损,9,2026-08-30 09:16:13
sz301297,Spring,92,41.377,39.269,-0.0509,止损,6,2026-08-30 09:16:13
sz301297,Spring,90,39.438,37.429,-0.0509,止损,9,2026-08-30 09:16:13
bj920163,Spring,97,12.828,12.174,-0.051,止损,1,2026-08-30 09:16:13
bj920163,Spring,97,11.092,12.851,0.1586,止盈,1,2026-08-30 09:16:13
bj920163,Spring,97,11.635,14.79,0.2712,止盈,3,2026-08-30 09:16:13
bj920163,Spring,97,13.833,15.971,0.1546,止盈,5,2026-08-30 09:16:13
bj920163,Spring,97,15.874,20.753,0.3074,止盈,1,2026-08-30 09:16:13
sh600278,Spring,97,6.505,7.701,0.1839,止盈,5,2026-08-30 09:16:13
sh600125,Spring,97,5.494,5.643,0.0271,到期,20,2026-08-30 09:16:14
sh600429,Spring,97,4.243,4.554,0.0733,到期,20,2026-08-30 09:16:14
sz002873,Shakeout,96,8.764,10.157,0.1589,止盈,9,2026-08-30 09:16:14
sz002873,Shakeout,96,10.027,9.516,-0.051,止损,4,2026-08-30 09:16:14
sh600125,Spring,87,5.444,5.543,0.0182,到期,20,2026-08-30 09:16:14
sh688501,Spring,96,18.849,18.741,-0.0057,到期,20,2026-08-30 09:16:14
sz002743,Shakeout,90,5.686,6.014,0.0577,到期,20,2026-08-30 09:16:14
sz300579,Spring,80,31.221,36.563,0.1711,止盈,1,2026-08-30 09:16:14
sz300579,Spring,80,32.532,37.712,0.1592,止盈,9,2026-08-30 09:16:14
sz300579,Spring,80,34.735,40.16,0.1562,止盈,2,2026-08-30 09:16:14
sh601008,Spring,86,5.785,5.773,-0.0021,到期,20,2026-08-30 09:16:14
sh688065,Shakeout,92,47.314,55.072,0.164,止盈,16,2026-08-30 09:16:14
bj920163,Spring,94,17.922,17.827,-0.0053,到期,20,2026-08-30 09:16:14
sh603416,Spring,97,56.211,61.937,0.1019,到期,20,2026-08-30 09:16:14
sh600719,Spring,86,6.246,6.294,0.0077,到期,20,2026-08-30 09:16:14
sh601008,Spring,84,5.627,5.783,0.0277,到期,20,2026-08-30 09:16:14
sz301166,Spring,97,30.487,31.688,0.0394,到期,20,2026-08-30 09:16:14
sh603682,Spring,96,5.574,5.977,0.0723,到期,20,2026-08-30 09:16:14
sz300921,Spring,91,16.131,16.676,0.0338,到期,20,2026-08-30 09:16:14
sz300810,Spring,82,39.749,39.001,-0.0188,到期,20,2026-08-30 09:16:14
sh688322,Spring,88,78.378,83.347,0.0634,到期,20,2026-08-30 09:16:14
sh603900,Spring,97,8.949,9.051,0.0114,到期,20,2026-08-30 09:16:14
sh688501,Spring,97,16.046,19.374,0.2074,止盈,4,2026-08-30 09:16:14
sh688065,Spring,81,45.67,54.32,0.1894,止盈,15,2026-08-30 09:16:14
sz300333,Spring,97,11.101,11.668,0.0511,到期,20,2026-08-30 09:16:14
sz000516,Spring,82,4.995,6.184,0.238,止盈,3,2026-08-30 09:16:14
sh688501,Spring,97,18.342,20.239,0.1034,到期,20,2026-08-30 09:16:14
sh603682,Shakeout,94,7.1,6.738,-0.051,止损,1,2026-08-30 09:16:14
sh603682,Shakeout,94,6.762,6.417,-0.051,止损,1,2026-08-30 09:16:14
bj920931,ST,92,14.348,13.617,-0.0509,止损,19,2026-08-30 09:16:14
sh600125,Shakeout,96,6.325,6.373,0.0076,到期,20,2026-08-30 09:16:14
sh603682,Shakeout,94,6.453,7.452,0.1548,止盈,10,2026-08-30 09:16:14
sz002743,Shakeout,96,5.866,5.567,-0.051,止损,8,2026-08-30 09:16:14
bj920931,Spring,97,13.8,13.762,-0.0028,到期,20,2026-08-30 09:16:14
sh601997,Spring,90,5.599,5.522,-0.0138,到期,20,2026-08-30 09:16:14
bj920163,Spring,82,15.363,14.58,-0.051,止损,12,2026-08-30 09:16:14
sz002481,ST,95,4.875,4.627,-0.0509,止损,8,2026-08-30 09:16:14
sz002873,Spring,97,9.568,11.849,0.2384,止盈,10,2026-08-30 09:16:14
sz002873,Spring,97,10.686,10.142,-0.0509,止损,3,2026-08-30 09:16:14
sh600125,Spring,97,6.315,5.993,-0.051,止损,18,2026-08-30 09:16:14
sh601997,Spring,97,5.466,5.54,0.0135,到期,20,2026-08-30 09:16:14
sh688501,Spring,83,18.701,17.748,-0.051,止损,5,2026-08-30 09:16:14
sz300075,Spring,88,12.583,14.515,0.1535,止盈,17,2026-08-30 09:16:14
sh603900,ST,81,7.598,7.211,-0.0509,止损,19,2026-08-30 09:16:14
sh601519,SC,84,10.51,10.43,-0.0076,到期,20,2026-08-30 09:16:14
sz301038,Spring,97,19.67,18.668,-0.0509,止损,13,2026-08-30 09:16:14
bj920476,Spring,90,16.957,19.68,0.1606,止盈,4,2026-08-30 09:16:14
sh600587,Spring,83,13.102,12.434,-0.051,止损,16,2026-08-30 09:16:14
sz301038,Spring,83,18.296,17.364,-0.0509,止损,18,2026-08-30 09:16:14
sh688501,Spring,92,15.102,14.333,-0.0509,止损,17,2026-08-30 09:16:14
sh603682,Spring,97,7.548,8.701,0.1528,止盈,6,2026-08-30 09:16:14
sz002609,Spring,86,7.798,7.401,-0.0509,止损,7,2026-08-30 09:16:14
sh601519,Shakeout,93,8.789,8.341,-0.051,止损,17,2026-08-30 09:16:14
bj920163,Spring,97,9.91,11.908,0.2016,止盈,10,2026-08-30 09:16:15
sh600587,Spring,97,12.142,12.987,0.0696,到期,20,2026-08-30 09:16:15
sh600125,Spring,94,5.345,5.544,0.0372,到期,20,2026-08-30 09:16:15
sz002743,Spring,97,3.363,3.866,0.1496,止盈,7,2026-08-30 09:16:15
sh688195,ST,95,111.882,129.151,0.1544,止盈,5,2026-08-30 09:16:15
sh688322,Spring,83,106.907,101.46,-0.051,止损,9,2026-08-30 09:16:15
sz002743,Spring,97,3.924,4.595,0.171,止盈,13,2026-08-30 09:16:15
