symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605399,ST,100,paper_discipline_bull,17.739,16.406,-0.0825,条件单:stop_loss,0,2026-09-04 18:44:26
sh605399,ST,100,paper_discipline_bull,16.548,15.876,-0.0483,条件单:stop_loss,1,2026-09-04 18:44:27
sh605318,Spring,100,paper_discipline_bull,13.294,15.544,0.1599,条件单:take_profit,1,2026-09-04 18:44:27
sh605318,Spring,100,paper_discipline_bull,14.468,16.843,0.1549,条件单:take_profit,5,2026-09-04 18:44:29
sh605318,Spring,100,paper_discipline_bull,15.537,14.876,-0.0502,条件单:stop_loss,3,2026-09-04 18:44:31
sh605599,Spring,100,paper_discipline_bull,10.22,11.84,0.1493,条件单:take_profit,0,2026-09-04 18:44:33
sh605499,Spring,100,paper_discipline_bull,90.09,103.959,0.1448,条件单:take_profit,24,2026-09-04 18:44:44
sh605599,Spring,100,paper_discipline_bull,10.942,12.656,0.1474,条件单:take_profit,28,2026-09-04 18:44:48
sh605338,ST,98,screener_value_accumulation,15.62,14.977,-0.0488,条件单:stop_loss,0,2026-09-04 18:44:49
sh605507,ST,100,paper_discipline_bull,10.158,11.966,0.1686,条件单:take_profit,35,2026-09-04 18:45:06
sh605598,Spring,100,paper_discipline_bull,16.146,18.914,0.1621,条件单:take_profit,11,2026-09-04 18:45:06
sh605369,Spring,100,paper_discipline_bull,25.719,24.455,-0.0567,条件单:stop_loss,3,2026-09-04 18:45:10
sh605598,Spring,100,screener_value_accumulation,18.203,21.174,0.1539,条件单:take_profit,19,2026-09-04 18:45:12
sh605398,Spring,100,paper_discipline_bull,14.475,13.998,-0.0407,条件单:stop_loss,18,2026-09-04 18:45:24
sh605318,SC,83,screener_value_accumulation,13.585,15.69,0.1457,条件单:take_profit,21,2026-09-04 18:45:41
sh605369,ST,100,paper_discipline_bull,19.847,19.089,-0.0459,条件单:stop_loss,13,2026-09-04 18:45:50
sh605555,ST,100,paper_discipline_bull,11.304,13.336,0.1704,条件单:take_profit,22,2026-09-04 18:46:25
sh605368,Spring,100,paper_discipline_bull,11.39,10.868,-0.0534,条件单:stop_loss,112,2026-09-04 18:46:37
sh605599,ST,100,paper_discipline_bull,9.832,9.384,-0.0532,条件单:stop_loss,68,2026-09-04 18:46:39
sh605589,Spring,100,paper_discipline_bull,23.224,26.918,0.1498,条件单:take_profit,18,2026-09-04 18:46:43
sh605300,Spring,87,screener_value_accumulation,13.333,16.535,0.2303,条件单:take_profit,8,2026-09-04 18:46:44
sh605369,Spring,100,paper_discipline_bull,19.252,17.625,-0.0918,条件单:stop_loss,58,2026-09-04 18:46:46
sh605567,Spring,100,paper_discipline_bull,8.41,9.8,0.156,条件单:take_profit,9,2026-09-04 18:47:14
sh605580,Spring,100,paper_discipline_bull,9.924,11.411,0.1407,条件单:take_profit,32,2026-09-04 18:47:34
sh605377,ST,100,paper_discipline_bull,8.394,8.047,-0.049,条件单:stop_loss,120,2026-09-04 18:48:11
sh605368,Spring,100,paper_discipline_bull,9.618,9.261,-0.0448,条件单:stop_loss,191,2026-09-04 18:48:11
sh605388,Shakeout,100,screener_value_accumulation,7.177,8.382,0.1586,条件单:take_profit,3,2026-09-04 18:48:15
sh605337,Spring,79,screener_value_accumulation,11.981,11.539,-0.0446,条件单:stop_loss,6,2026-09-04 18:48:21
sh605378,Spring,90,screener_value_accumulation,22.559,21.643,-0.0482,条件单:stop_loss,17,2026-09-04 18:48:27
sh605377,Spring,100,paper_discipline_bull,7.535,8.663,0.1405,条件单:take_profit,35,2026-09-04 18:48:28
sh605299,Spring,100,paper_discipline_bull,10.821,12.432,0.1397,条件单:take_profit,12,2026-09-04 18:48:29
sh605305,Spring,81,screener_value_accumulation,39.817,37.006,-0.078,条件单:stop_loss,2,2026-09-04 18:48:30
sh605580,ST,100,paper_discipline_bull,23.106,22.378,-0.0392,条件单:stop_loss,15,2026-09-04 18:48:33
sh605305,Spring,81,screener_value_accumulation,43.328,41.291,-0.0546,条件单:stop_loss,1,2026-09-04 18:48:35
sh605303,Spring,80,screener_value_accumulation,17.718,16.923,-0.0525,条件单:stop_loss,2,2026-09-04 18:48:37
sh605336,Spring,93,screener_value_accumulation,14.284,16.513,0.1468,条件单:take_profit,32,2026-09-04 18:49:13
sh605368,ST,100,paper_discipline_bull,7.618,7.233,-0.0581,条件单:stop_loss,15,2026-09-04 18:49:20
sh605580,Spring,100,paper_discipline_bull,20.027,24.018,0.1897,条件单:take_profit,0,2026-09-04 18:49:21
sh605567,Spring,100,paper_discipline_bull,10.2,9.854,-0.0416,条件单:stop_loss,41,2026-09-04 18:49:22
sh605580,Spring,100,paper_discipline_bull,21.879,25.589,0.1602,条件单:take_profit,0,2026-09-04 18:49:23
sh605580,Spring,100,paper_discipline_bull,24.413,29.927,0.2161,条件单:take_profit,2,2026-09-04 18:49:24
sh605580,Spring,100,paper_discipline_bull,27.729,25.684,-0.0811,条件单:stop_loss,1,2026-09-04 18:49:26
sh605300,Spring,100,paper_discipline_bull,10.033,9.299,-0.0805,条件单:stop_loss,6,2026-09-04 18:49:28
sh605368,ST,100,paper_discipline_bull,7.147,6.923,-0.0391,条件单:stop_loss,2,2026-09-04 18:49:31
sh605580,Spring,100,paper_discipline_bull,25.025,24.126,-0.0436,条件单:stop_loss,6,2026-09-04 18:49:33
sh605288,ST,100,screener_value_accumulation,65.325,78.911,0.1984,条件单:take_profit,3,2026-09-04 18:49:36
sh605368,ST,100,paper_discipline_bull,6.927,6.683,-0.0429,条件单:stop_loss,6,2026-09-04 18:49:37
sh605305,Spring,5,screener_value_accumulation,36.526,42.797,0.1623,条件单:take_profit,0,2026-09-04 18:49:38
sh605369,Spring,90,screener_value_accumulation,15.415,18.182,0.1701,条件单:take_profit,0,2026-09-04 18:49:40
sh605366,Spring,100,paper_discipline_bull,10.911,13.057,0.1871,条件单:take_profit,2,2026-09-04 18:49:41
sh605305,Spring,5,screener_value_accumulation,42.883,40.859,-0.0548,条件单:stop_loss,1,2026-09-04 18:49:42
sh605369,Spring,90,screener_value_accumulation,18.909,18.302,-0.0398,条件单:stop_loss,0,2026-09-04 18:49:43
sh605599,Spring,100,paper_discipline_bull,14.134,13.686,-0.0394,条件单:stop_loss,0,2026-09-04 18:49:45
sh605366,Spring,100,paper_discipline_bull,13.083,12.617,-0.0433,条件单:stop_loss,4,2026-09-04 18:49:48
sh605599,Spring,100,paper_discipline_bull,13.704,15.794,0.1433,条件单:take_profit,19,2026-09-04 18:50:05
sh605577,ST,100,paper_discipline_bull,8.851,10.749,0.2048,条件单:take_profit,32,2026-09-04 18:50:20
sh605555,Spring,76,screener_value_accumulation,12.362,11.748,-0.0572,条件单:stop_loss,0,2026-09-04 18:50:21
sh605388,Spring,80,screener_value_accumulation,6.146,5.884,-0.0503,条件单:stop_loss,2,2026-09-04 18:50:22
sh605288,SC,66,screener_value_accumulation,56.867,66.633,0.1624,条件单:take_profit,0,2026-09-04 18:50:23
sh605398,Spring,100,paper_discipline_bull,18.752,22.018,0.1648,条件单:take_profit,25,2026-09-04 18:50:23
