symbol,type,conf,strategy,buy_px,sell_px,ret,reason,bars,close
sh605598,Spring,100,paper_discipline_bull,16.728,20.464,0.2136,条件单:take_profit,8,2026-09-04 09:21:29
sh605598,ST,100,paper_discipline_bull,19.73,18.381,-0.0758,条件单:stop_loss,3,2026-09-04 09:21:30
sh605389,Spring,95,screener_value_accumulation,15.44,14.41,-0.0741,条件单:stop_loss,3,2026-09-04 09:21:31
sh605389,Spring,95,screener_value_accumulation,14.672,17.875,0.2086,条件单:take_profit,16,2026-09-04 09:21:37
sh605368,Shakeout,100,paper_discipline_bull,10.789,10.105,-0.0709,条件单:stop_loss,42,2026-09-04 09:21:39
sh605589,Spring,100,paper_discipline_bull,23.224,26.918,0.1498,条件单:take_profit,18,2026-09-04 09:21:41
sh605389,Spring,98,screener_value_accumulation,19.711,22.926,0.1538,条件单:take_profit,5,2026-09-04 09:21:42
sh605389,Spring,98,screener_value_accumulation,22.739,20.514,-0.105,条件单:stop_loss,29,2026-09-04 09:21:44
sh605599,ST,100,paper_discipline_bull,9.832,11.299,0.14,条件单:take_profit,125,2026-09-04 09:21:44
sh605567,Spring,100,paper_discipline_bull,7.881,9.107,0.1464,条件单:take_profit,5,2026-09-04 09:21:45
sh605599,Shakeout,100,paper_discipline_bull,11.148,13.205,0.1751,条件单:take_profit,14,2026-09-04 09:21:50
sh605389,Spring,100,screener_value_accumulation,24.208,28.652,0.1741,条件单:take_profit,30,2026-09-04 09:21:55
sh605580,Spring,100,paper_discipline_bull,10.002,12.143,0.2044,条件单:take_profit,41,2026-09-04 09:21:55
sh605389,Shakeout,68,screener_value_accumulation,27.607,33.423,0.201,条件单:take_profit,6,2026-09-04 09:21:58
sh605488,Spring,92,paper_discipline_bull,32.589,30.554,-0.0699,条件单:stop_loss,2,2026-09-04 09:21:58
sh605318,Spring,100,paper_discipline_bull,28.518,26.673,-0.0721,条件单:stop_loss,10,2026-09-04 09:21:58
sh605333,Spring,90,paper_discipline_bull,26.965,32.131,0.1821,条件单:take_profit,11,2026-09-04 09:21:59
sh605488,Spring,92,paper_discipline_bull,30.576,35.667,0.1572,条件单:take_profit,33,2026-09-04 09:21:59
sh605318,ST,100,paper_discipline_bull,26.737,31.459,0.1672,条件单:take_profit,21,2026-09-04 09:21:59
sh605500,Spring,95,paper_discipline_bull,9.644,9.051,-0.069,条件单:stop_loss,20,2026-09-04 09:22:05
sh605399,Spring,100,paper_discipline_bull,12.342,14.246,0.1451,条件单:take_profit,23,2026-09-04 09:22:13
sh605500,ST,93,screener_value_accumulation,9.218,8.616,-0.0728,条件单:stop_loss,9,2026-09-04 09:22:14
sh605599,Spring,99,paper_discipline_bull,13.445,15.523,0.1454,条件单:take_profit,81,2026-09-04 09:22:25
sh605566,Spring,94,paper_discipline_bull,31.366,29.034,-0.0817,条件单:stop_loss,6,2026-09-04 09:22:30
sh605388,Shakeout,100,paper_discipline_bull,7.568,7.103,-0.0689,条件单:stop_loss,43,2026-09-04 09:22:32
sh605378,Spring,90,screener_value_accumulation,23.194,21.643,-0.0743,条件单:stop_loss,9,2026-09-04 09:22:32
sh605299,Spring,100,paper_discipline_bull,10.821,12.432,0.1397,条件单:take_profit,12,2026-09-04 09:22:32
sh605499,Spring,97,paper_discipline_bull,191.426,178.147,-0.0768,条件单:stop_loss,18,2026-09-04 09:22:33
sh605298,Spring,88,screener_value_accumulation,43.852,50.902,0.1515,条件单:take_profit,2,2026-09-04 09:22:33
sh605580,ST,100,paper_discipline_bull,23.542,21.479,-0.0949,条件单:stop_loss,13,2026-09-04 09:22:34
sh605378,Spring,95,paper_discipline_bull,21.102,19.684,-0.0746,条件单:stop_loss,2,2026-09-04 09:22:35
sh605577,Spring,95,paper_discipline_bull,12.52,11.709,-0.0722,条件单:stop_loss,10,2026-09-04 09:22:35
sh605336,Spring,93,screener_value_accumulation,15.505,14.416,-0.0776,条件单:stop_loss,0,2026-09-04 09:22:35
sh605566,Spring,100,paper_discipline_bull,26.689,31.443,0.1687,条件单:take_profit,13,2026-09-04 09:22:44
sh605507,Spring,100,paper_discipline_bull,17.758,16.675,-0.0685,条件单:stop_loss,3,2026-09-04 09:22:48
sh605303,Spring,98,paper_discipline_bull,24.024,22.458,-0.0726,条件单:stop_loss,1,2026-09-04 09:22:49
sh605378,Spring,96,screener_value_accumulation,20.249,18.744,-0.0817,条件单:stop_loss,12,2026-09-04 09:22:52
sh605368,ST,100,paper_discipline_bull,7.648,7.123,-0.0761,条件单:stop_loss,7,2026-09-04 09:22:53
sh605567,Spring,100,paper_discipline_bull,10.2,9.508,-0.0753,条件单:stop_loss,44,2026-09-04 09:22:53
