日期,代码,名称,类型,conf,5根,10根,20根,40根,净收益(扣成本),止损后净收益
2022-04-27,002640,跨境通,Spring,95,5.43%,11.96%,17.75%,12.32%,16.95%,16.95%
2022-04-27,600771,广誉远,Spring,95,13.98%,14.49%,12.42%,39.49%,11.62%,11.62%
2022-04-27,603708,家家悦,Spring,94,17.11%,18.31%,11.21%,20.27%,10.41%,10.41%
2022-04-27,000683,博源化工,Spring,93,5.35%,6.09%,23.54%,24.16%,22.74%,22.74%
2022-04-27,002379,宏桥控股,Spring,92,1.63%,2.61%,5.21%,18.24%,4.41%,4.41%
2022-04-27,600968,海油发展,Spring,92,6.06%,6.06%,15.58%,15.15%,14.78%,14.78%
2022-04-28,000544,中原环保,Spring,98,5.09%,6.18%,9.30%,8.36%,8.50%,8.50%
2022-04-28,002478,常宝股份,Spring,95,10.32%,8.99%,12.96%,23.71%,12.16%,12.16%
2022-04-28,002481,双塔食品,Spring,92,18.04%,8.67%,30.35%,15.38%,29.55%,29.55%
2022-04-29,000828,东莞控股,Spring,95,4.98%,4.98%,8.34%,14.01%,7.54%,7.54%
2022-05-10,600258,首旅酒店,Spring,95,4.71%,-3.86%,6.24%,11.11%,5.44%,5.44%
2022-05-19,605266,健之佳,ST,94,6.34%,13.50%,13.20%,13.04%,12.40%,12.40%
2022-05-24,600426,华鲁恒升,Spring,96,5.63%,7.75%,3.93%,2.69%,3.13%,3.13%
2022-06-14,600612,老凤祥,Shakeout,91,2.93%,5.32%,-1.98%,-2.29%,-2.78%,-2.78%
2022-06-17,002311,海大集团,Spring,92,3.54%,0.89%,3.05%,2.74%,2.25%,2.25%
2022-06-22,603300,海南华铁,Spring,93,11.19%,20.99%,29.14%,4.28%,28.34%,28.34%
2022-06-23,002588,史丹利,Spring,96,8.39%,15.98%,7.44%,2.37%,6.64%,6.64%
2022-07-13,600426,华鲁恒升,Spring,99,6.13%,6.24%,10.08%,10.45%,9.28%,9.28%
2022-07-13,603299,苏盐井神,Spring,93,22.87%,19.01%,8.61%,11.21%,7.81%,7.81%
2022-07-14,002410,广联达,Shakeout,94,4.47%,2.67%,4.27%,1.69%,3.47%,3.47%
2022-07-15,002545,东方铁塔,Spring,97,3.80%,4.70%,1.60%,-3.20%,0.80%,0.80%
2022-07-15,601958,金钼股份,Spring,96,2.46%,6.89%,5.66%,4.43%,4.86%,4.86%
2022-07-15,002151,北斗星通,Spring,95,8.80%,6.43%,9.62%,6.08%,8.82%,8.82%
2022-07-15,600968,海油发展,Spring,93,4.62%,7.14%,7.14%,20.59%,6.34%,6.34%
2022-07-18,600299,安迪苏,Spring,93,-0.74%,0.00%,0.42%,12.38%,-0.38%,-0.38%
2022-08-02,000001,上证指数,Spring,98,1.92%,2.88%,1.29%,-4.43%,0.49%,0.49%
2022-08-02,000869,张  裕Ａ,Spring,98,9.37%,13.64%,15.08%,15.12%,14.28%,14.28%
2022-08-02,002818,富森美,Spring,98,14.48%,31.86%,23.71%,19.46%,22.91%,22.91%
2022-08-02,600300,维维股份,Spring,97,3.46%,5.97%,12.26%,3.46%,11.46%,11.46%
2022-08-02,002191,劲嘉股份,Spring,96,1.47%,11.20%,11.09%,1.13%,10.29%,10.29%
2022-08-02,002410,广联达,Spring,95,7.57%,7.44%,7.39%,0.95%,6.59%,6.59%
2022-08-02,600104,上汽集团,Spring,95,1.83%,3.21%,-2.46%,-8.70%,-3.26%,-3.26%
2022-08-02,600998,九州通,Spring,95,-0.18%,1.07%,5.61%,2.67%,4.81%,4.81%
2022-08-02,000828,东莞控股,Spring,94,2.94%,5.46%,6.51%,-3.99%,5.71%,5.71%
2022-08-02,002939,长城证券,Spring,94,4.60%,8.61%,8.73%,-3.77%,7.93%,7.93%
2022-08-02,600329,达仁堂,Spring,94,2.04%,8.07%,8.07%,2.27%,7.27%,7.27%
2022-08-03,002640,跨境通,Spring,96,5.24%,8.39%,15.38%,9.09%,14.58%,14.58%
2022-08-03,000683,博源化工,Spring,92,9.09%,8.49%,1.79%,-14.23%,0.99%,0.99%
2022-08-04,601012,隆基绿能,Spring,99,4.02%,9.27%,-7.37%,-14.08%,-8.17%,-8.17%
2022-08-04,000582,北部湾港,Spring,92,1.22%,0.95%,3.65%,-5.00%,2.85%,2.85%
2022-08-04,600612,老凤祥,Spring,91,5.53%,2.79%,4.33%,10.11%,3.53%,3.53%
2022-08-04,600397,江钨装备,Spring,90,2.62%,6.56%,8.52%,18.36%,7.72%,7.72%
2022-08-05,000685,中山公用,Spring,94,1.11%,1.53%,1.53%,-8.76%,0.73%,0.73%
2022-08-08,000868,安凯客车,Spring,90,2.89%,12.82%,19.86%,6.14%,19.06%,19.06%
2022-08-10,600258,首旅酒店,Spring,96,8.59%,3.47%,6.88%,8.70%,6.08%,6.08%
2022-08-29,600435,北方导航,Spring,90,-0.79%,-2.03%,-8.46%,4.40%,-9.26%,-9.26%
2022-08-31,000951,中国重汽,Spring,94,2.63%,7.32%,-4.41%,23.85%,-5.21%,-5.21%
2022-09-01,002488,金固股份,Spring,93,16.36%,0.42%,-6.77%,-4.23%,-7.57%,-7.57%
2022-09-02,600178,东安动力,Spring,94,2.04%,-8.02%,-13.70%,-3.21%,-14.50%,-14.50%
2022-09-05,601958,金钼股份,Spring,94,9.28%,8.64%,-1.91%,27.70%,-2.71%,-2.71%
2022-09-05,601100,恒立液压,Spring,92,10.39%,5.36%,-5.06%,23.32%,-5.86%,-5.86%
2022-09-19,000544,中原环保,Spring,95,2.28%,2.28%,5.20%,9.43%,4.40%,4.40%
2022-09-19,600557,康缘药业,Spring,94,-0.81%,13.25%,49.76%,105.20%,48.96%,48.96%
2022-09-23,002242,九阳股份,Spring,93,3.21%,7.55%,1.33%,11.07%,0.53%,0.53%
2022-09-26,605266,健之佳,Spring,98,14.47%,19.16%,44.99%,106.28%,44.19%,44.19%
2022-09-27,002311,海大集团,Spring,95,6.35%,7.86%,3.00%,-1.37%,2.20%,2.20%
2022-09-27,000661,长春高新,Spring,91,-3.25%,19.77%,2.32%,2.23%,1.52%,1.52%
2022-09-30,600761,安徽合力,Spring,93,25.10%,43.32%,44.13%,38.56%,43.33%,43.33%
2022-10-10,601958,金钼股份,Spring,98,24.50%,18.47%,22.36%,42.84%,21.56%,21.56%
2022-10-10,603416,信捷电气,Spring,97,31.23%,35.14%,35.14%,56.22%,34.34%,34.34%
2022-10-10,002261,拓维信息,Spring,96,22.72%,23.43%,30.59%,29.52%,29.79%,29.79%
2022-10-10,605196,华通线缆,Spring,96,9.43%,17.77%,19.01%,17.77%,18.21%,18.21%
